Expression	Value	Location	Type	
m_bRxFifoPos1	Error (col 1): Unknown or ambiguous symbol. m_bRxFifoPos1			
gbU1RxBuf	<array>""	0x2401C3C0	uint8_t[1024]	
gbU3TxBuf	<array>""	0x2401CFC0	uint8_t[1024]	
gbU1RxFifo	<array>""	0x2401EA40	uint8_t[128]	
m_nAdc1DamIndex	7223	0x2401F4D0	uint32_t	
m_nAdc2DamIndex	4213	0x2401F4D4	uint32_t	
gbU1TxBuf	<array>""	0x2401C7C0	uint8_t[1024]	
gwU1TxCnt	0	0x2401F516	uint16_t	
gstRtc	<struct>	0x2401F3FC	ST_RTC	
glDtRtc	755640564	0x2401F4C4	uint32_t	
glRtcMod	833	0x2401F4C8	uint32_t	
m_nAdc1Cnt	122	0x2401F490	uint32_t	
m_nAdc2Cnt	29671	0x2401F494	uint32_t	
m_nAdc3Cnt	128	0x2401F4A8	uint32_t	
m_nAdcRaw	<array>	0x24018F00	uint16_t[2048]	
m_fftInput	<array>	0x2401B7A8	float[512]	
m_fftOutput	<array>	0x2401BFA8	float[256]	
m_nfftIndex	1671	0x2401F4B8	int	
m_fftAvgArray	<array>	0x24015080	float[2000]	
m_bSocVersion	0x00000000	0x2401F4E0	uint32_t	
m_nVoltageOffset	<array>	0x2401F408	int[3]	
m_nVoltageRms	<array>	0x2401F444	int[3]	
m_nVoltageIns	<array>	0x2401F438	int[3]	
m_nCurrentRms	<array>	0x2401F45C	int[3]	
m_nCurrentIns	<array>	0x2401F450	int[3]	
m_fVoltage	<array>	0x2401F3EC	float[4]	
m_fVoltageInsArray	<array>	0x2401E5C0	float[64]	
m_nSocCnt	4809	0x2401F4DC	uint32_t	
gbReqArcTrip	'\0' (0x00)	0x2401F52B	uint8_t	
gbArcTrip	'\0' (0x00)	0x2401F52A	uint8_t	
m_bDipSw	'.' (0x0F)	0x24000078	uint8_t	
gbReqLed2	'\0' (0x00)	0x2401F530	uint8_t	
gbLed2	'\0' (0x00)	0x2401F531	uint8_t	
gbReqPvRelayP	'\0' (0x00)	0x2401F52C	uint8_t	
gbReqPvRelayN	'\0' (0x00)	0x2401F52D	uint8_t	
m_nLightSumArray	Error (col 1): Unknown or ambiguous symbol. m_nLightSumArray			
gbPvRelayN	'\0' (0x00)	0x2401F52F	uint8_t	
m_strAdcInfo	<struct>	0x2401E6C0	STRUCT_ADC	
m_nArcLightCnt	Error (col 1): Unknown or ambiguous symbol. m_nArcLightCnt			
m_nModbusMap_04	<array>	0x2401E3C0	uint16_t[256]	
m_nArcLightArray	<array>	0x24008080	uint32_t[4096]	
m_nFlashCntArray	<array>	0x24013080	uint16_t[4096]	
m_nLightRaw	<array>	0x24019F00	uint16_t[2048]	
[0]	31	0x24019F00	uint16_t	
[1]	42	0x24019F02	uint16_t	
[2]	42	0x24019F04	uint16_t	
[3]	30	0x24019F06	uint16_t	
[4]	37	0x24019F08	uint16_t	
[5]	45	0x24019F0A	uint16_t	
[6]	33	0x24019F0C	uint16_t	
[7]	40	0x24019F0E	uint16_t	
[8]	38	0x24019F10	uint16_t	
[9]	30	0x24019F12	uint16_t	
[10]	42	0x24019F14	uint16_t	
[11]	31	0x24019F16	uint16_t	
[12]	38	0x24019F18	uint16_t	
[13]	37	0x24019F1A	uint16_t	
[14]	33	0x24019F1C	uint16_t	
[15]	28	0x24019F1E	uint16_t	
[16]	34	0x24019F20	uint16_t	
[17]	26	0x24019F22	uint16_t	
[18]	33	0x24019F24	uint16_t	
[19]	37	0x24019F26	uint16_t	
[20]	39	0x24019F28	uint16_t	
[21]	31	0x24019F2A	uint16_t	
[22]	7	0x24019F2C	uint16_t	
[23]	39	0x24019F2E	uint16_t	
[24]	32	0x24019F30	uint16_t	
[25]	28	0x24019F32	uint16_t	
[26]	34	0x24019F34	uint16_t	
[27]	33	0x24019F36	uint16_t	
[28]	33	0x24019F38	uint16_t	
